Team,Field Goals,Field Goal Attempts,Free Throws,Free Throw Attempts
Golden State Warriors*,3410,7137,1313,1709
Los Angeles Clippers*,3228,6830,1468,2067
Dallas Mavericks*,3255,7036,1386,1843
Oklahoma City Thunder,3184,7119,1524,2020
Toronto Raptors*,3108,6829,1585,2014
Houston Rockets*,3032,6832,1525,2133
San Antonio Spurs*,3208,6854,1368,1754
Cleveland Cavaliers*,3089,6739,1453,1934
Portland Trail Blazers*,3175,7049,1272,1589
Atlanta Hawks*,3121,6699,1349,1735
Phoenix Suns,3178,7038,1343,1767
Denver Nuggets,3099,7158,1462,1991
Boston Celtics*,3193,7211,1266,1678
Sacramento Kings,3010,6617,1829,2400
Chicago Bulls*,3001,6797,1618,2067
New Orleans Pelicans*,3108,6795,1345,1790
Los Angeles Lakers,3054,7020,1433,1935
Washington Wizards*,3139,6790,1305,1758
Detroit Pistons,3041,7038,1292,1838
Memphis Grizzlies*,3097,6763,1445,1869
Brooklyn Nets*,3069,6804,1359,1817
Milwaukee Bucks*,3083,6722,1312,1734
Minnesota Timberwolves,2986,6820,1638,2110
Indiana Pacers,2998,6824,1373,1817
Orlando Magic,3076,6792,1141,1565
Utah Jazz,2900,6492,1391,1929
Miami Heat,2885,6330,1438,1940
Charlotte Hornets,2913,6932,1397,1867
Philadelphia 76ers,2765,6777,1320,1953
New York Knicks,2882,6726,1211,1575
