Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2015,8,Male,15,Ambidextrous,170.7,21.59,132,2,Bus,60,0.46,47,Martial Arts,250,250,100,345,25,55,21.59,Same length,70,70,Same length,May,Summer,Yes,No,Meat,Other,Art,6,8,7,Yes - broadband connection,In person,0,0,8,0,0,0,0,2,0,0,4,0,0,1,Some,Graduate degree,Techno/Electronic,Telepathy,Rich,Other,Health
USA,PA,2011,6,Male,11,Left-Handed,7,3,20,13,Bus,30,13,50,Soccer,500,1000,1000,,500,600,16,Left foot,50,60,Same length,August,Summer,No,No,Pizza/Pasta,Juice,Physical education,8,5,4,Yes - broadband connection,In person,8,2,6,1,1,5,5,9,5,2,2,3,1,5,Very little,Graduate degree,Rap/Hip hop,Super strength,Rich,Other,"Wildlife, animals"
USA,CA,2015,6,Female,10,Right-Handed,149,21,131,2,Car,4,15,7,Dancing,1000,1000,1000,1000,100,400,21,Same length,52,61,Ring finger,October,Winter,No,No,Meat,Powdered drink,Art,8,9,5,Yes - broadband connection,In person,12,15,7,0,1,0,1,0,30,5,1,1,0,10,Some,High school,Rap/Hip hop,Freeze time,Happy,Relative,International aid
USA,WI,2014,6,Male,11,Right-Handed,155,25,157,2,Car,15,0.377,36,Golf,700,600,900,800,1000,1000,25,Same length,86,86,Same length,July,Summer,Yes,No,Seafood,Milk,Mathematics and statistics,10,12,5,Yes - broadband connection,In person,0,0,5,0,1,12,5,6,6,0,6,2,0,1,Very little,Graduate degree,Rock and roll,Fly,Rich,Relative,Health
USA,WI,2014,7,Female,13,Right-Handed,157,24,137,1,Walk,10,0.314,54,Baseball/Softball,1000,1000,1000,1000,1000,1000,23,Right foot,65,75,Ring finger,October,Summer,Yes,No,Pizza/Pasta,Juice,English,8,6,4,Yes - broadband connection,Internet chat or instant messaging,300,300,10,1,14,0,10,0,49,49,49,0,1,1,A lot,Graduate degree,Rap/Hip hop,Invisibility,Rich,Friend,Health
USA,KY,2015,6,Female,12,Right-Handed,163,25,150,1,Bus,35,0.427,43,Soccer,802,508,209,380,102,53,24.5,Right foot,7,7,Same length,February,Summer,No,No,Other,Water,Physical education,10,8,4,Yes - other,Text messaging,0,0,10,0,7,21,8,2,12,10,20,35,0,49,Some,Graduate degree,Pop,Invisibility,Healthy,Other,Health
USA,IL,2014,6,Female,11,Right-Handed,152,22,139,1,Walk,15,0.843,,Soccer,600,600,700,700,900,1000,22,Same length,83,74,Index finger,August,Summer,Yes,No,Pizza/Pasta,Water,Art,9,11,5,Yes - broadband connection,Cell phone,40,40,20,1,3,10,12,1,11,2,2,7,2,1,None,Graduate degree,Country,Fly,Happy,Teacher,Health
USA,WI,2014,8,Male,13,Right-Handed,181,28,149,1,Car,8,0.433,60,Basketball,500,1000,500,700,1000,1000,28,Same length,90,85,Index finger,June,Summer,No,No,No favorite,Water,Physical education,8,9,4,Yes - broadband connection,Text messaging,4,20,15,2,2,1,2,2,4,1,2,2,3,2,Some,Graduate degree,Rap/Hip hop,Fly,Famous,Musician or singer,Health
USA,CA,2015,6,Male,11,Right-Handed,10,20,4,3,Car,5,0.2,20,Basketball,1,1,11111,0,11111,11111,7,Same length,1,3,Same length,July,Winter,No,No,Meat,Sports drink,Other,4,4,6,Yes - other,,6,8,11,0,1,0,24,24,2,2,2,2,2,2,None,Graduate degree,Rap/Hip hop,Invisibility,Rich,Sports person,"Arts, culture, sports"
USA,WI,2015,7,Male,12,Right-Handed,144,18,136,1,Bus,20,0.523,52,Football (American),1000,1000,1000,1000,0,0,,,35,20,Ring finger,,Spring,,No,Other,Water,Music,10,12,3,No internet connection,Telephone,0,0,48,2,3,18,2,6,7,0,7,3,0,0,A lot,Some college,Other,Invisibility,Rich,Musician or singer,Environment
USA,KY,2012,6,Female,12,Right-Handed,152.4,21,152.4,1,Bus,45,0.338,42,Other,635,23,278,556,1000,1000,21,Same length,80,65,Index finger,February,Summer,Yes,No,No favorite,Energy drink,Other,3,1,4,Yes - other,Text messaging,400,546,0,54,1,0,0,25,21,10000,25,25,0,0,A lot,Graduate degree,Heavy metal,Freeze time,Happy,Musician or singer,"Arts, culture, sports"
USA,WI,2014,8,Female,14,Right-Handed,165,11,163,1,Bus,30,0.446,51,Baseball/Softball,900,1000,1000,970,920,920,11,Same length,80,85,Index finger,October,Summer,No,No,Meat,Water,Mathematics and statistics,8,13,7,Yes - broadband connection,Text messaging,100,105,2,1,15,10,2,0,7,7,9,3,0,5,Some,Graduate degree,Country,Telepathy,Healthy,Relative,International aid
USA,WI,2013,8,Male,14,Right-Handed,190,28,192,2,Bicycle,5,0.252,20,Basketball,300,300,300,300,1000,1000,27,Right foot,92,94,Ring finger,October,Fall,Yes,No,Meat,Water,Computers and technology,6,5,6,Yes - broadband connection,Text messaging,100,110,40,1,2,1,40,1,5,30,5,0,10,1,Some,Graduate degree,Heavy metal,Super strength,Happy,Other,Other
USA,NC,2013,6,Female,11,Right-Handed,160,23,159,1,Car,3,0.399,42,Other,700,500,300,400,1000,1000,23,Same length,72,76,Ring finger,March,Summer,No,No,Meat,Tea,Other,7.5,10,6,Yes - other,Text messaging,300,350,30,0.5,5,5,14,2,5,5.5,15,6,1,1.5,Very little,Graduate degree,Pop,Fly,Happy,Sports person,Health
USA,IL,2014,8,Female,14,Right-Handed,153,23.5,152,1,Bus,3,0.513,39,Other,500,400,200,100,500,600,23.5,Same length,80,70,Index finger,March,Summer,Yes,No,Other,Tea,Mathematics and statistics,7,11,5,Yes - broadband connection,Text messaging,300,300,5,2,1,2,5,1,1,9,2,4,1,2,Some,Some college,Rap/Hip hop,Invisibility,Happy,Teacher,"Arts, culture, sports"
USA,MA,2012,7,Male,11,Right-Handed,54,15,46,1,Skateboard/Scooter/Rollerblade,15,0.31,32,Tennis,1000,1000,1000,1000,1000,1000,14,Right foot,50,37,Index finger,June,Winter,Yes,Yes,Fruit,Milk,Computers and technology,11,8,4,Yes - broadband connection,In person,5,4,11,1,6,7,11,9,0,1,9,5,0,7,Some,Graduate degree,Techno/Electronic,Freeze time,Happy,Relative,Health
USA,WI,2014,8,Female,14.5,Ambidextrous,164,29,141,2,Bus,25,0.332,38,Dancing,500,700,900,900,1000,1000,29,Same length,7,6,Same length,October,Summer,Yes,Yes,Breads/Sandwiches,Soft drink (caffeinated),Music,6,4,2,Yes - other,Telephone,50,49,0,3,4,2,0,6,7,2,8,3,0,0,A lot,Some college,Pop,Telepathy,Happy,Relative,"Wildlife, animals"
USA,OH,2011,6,Female,12,Right-Handed,152.4,33.5,152.4,1,Car,5,0.282,32,Cycling,508,508,508,,1000,10003,33.5,Same length,25,57.2,Ring finger,May,Fall,No,No,Other,Water,Physical education,10,13,4,Yes - broadband connection,In person,0,0,5,1,1,2,3,5,0,0,5,4,1,1,A lot,Some college,Techno/Electronic,Freeze time,Healthy,Teacher,Health
USA,RI,2013,8,Female,14,Right-Handed,170,23,170,1,Bus,30,0.443,41,Swimming,332,508,139,631,305,642,26,Left foot,8,6,Ring finger,March,Summer,No,No,Vegetables,Milk,Physical education,6,10,4,Yes - other,Internet chat or instant messaging,175,190,60,4,6,10,50,2,20,20,15,15,24,15,A lot,Graduate degree,Rock and roll,Telepathy,Happy,Community leader or elder,International aid
USA,WI,2013,8,Male,14,Left-Handed,169,26,167,2,Bus,22,0.479,72,Other,652,701,995,1000,64,235,26,Same length,90,100,Ring finger,September,Fall,No,No,Seafood,Sports drink,Physical education,8,5,5,Yes - broadband connection,In person,0,0,40,2,1,120,28,1,3,2,5,15,13,2,None,Other,Country,Fly,Rich,Friend,"Wildlife, animals"
USA,WI,2013,8,Female,13,Right-Handed,162,22,165,1,Bus,10,0.794,50,Dancing,980,990,800,1000,200,550,22,Same length,70,80,Ring finger,June,Summer,Yes,No,Soups,Soft drink (caffeinated),Social studies,9,12,4,Yes - broadband connection,Text messaging,100,105,5,1,6,10,5,0,2,9,3,4,8,3,Some,Graduate degree,Pop,Freeze time,Happy,Relative,"Wildlife, animals"
USA,GU,2014,7,Female,13,Right-Handed,149,23,151,1,Car,15,0.439,56,Baseball/Softball,500,1000,1000,1000,100,300,23,Same length,70,67,Index finger,October,Summer,No,No,No favorite,Other,Physical education,8,8,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,30,6,0,1,24,3,0,3,1,5,0,0,5,Some,Graduate degree,Reggae,Freeze time,Healthy,Coach or club leader,Health
USA,MA,2012,7,Male,13,Right-Handed,161,23.5,157,1,Car,20,0.509,52,Martial Arts,1000,1000,1000,1000,503,503,25,Left foot,60,60,Same length,May,Summer,Yes,Yes,Pizza/Pasta,Water,Other,8,8,5,Yes - broadband connection,Internet chat or instant messaging,30,30,5,0.5,2,5,1.5,0.5,2,2,7,0,0,0.3,Some,Undergraduate degree,Pop,Telepathy,Happy,Relative,International aid
USA,WI,2014,7,Female,12,Right-Handed,50,23,51,1,Bus,30,10.12,55,Swimming,476,850,668,840,11,5,21,Right foot,7,8,Ring finger,April,Fall,No,No,Fruit,Water,Computers and technology,9,7,5,Yes - broadband connection,Cell phone,7,11,7,2,4,7,9,3,2,3,1,2,0,3,Some,Graduate degree,Country,Invisibility,Happy,Other,Health
