Location,People Living with HIV/AIDS,Adults receiving ART,AIDS Deaths
World,"36,900,000","14,034,140","1,200,000"
Afghanistan,"6,700",265,<500
Albania,N/A,336,N/A
Algeria,"11,000","5,509",<200
American Samoa,N/A,N/A,N/A
Andorra,N/A,N/A,N/A
Angola,"300,000","72,066","12,000"
Anquilla,N/A,N/A,N/A
Antigua and Barbuda,N/A,N/A,N/A
Argentina,130000,"57,029","1,500"
Armenia,"4,000",721,<200
Aruba,N/A,N/A,N/A
Australia,N/A,N/A,N/A
Austria,N/A,N/A,N/A
Azerbaijan,"8,400","1,770",<500
Bahamas,N/A,"1,799",N/A
Bahrain,N/A,N/A,N/A
Bangladesh,"8,900","1,208","<1,000"
Barbados,N/A,"1,089",N/A
Belarus,"29,000","5,729",1000
Belgium,N/A,N/A,N/A
Belize,"2,700","1,408",<100
Benin,"78,000","27,241","2,400"
Bermuda,N/A,N/A,N/A
Bhutan,N/A,157,N/A
Bolivia,"18,000","3,691","<1,000"
Bosnia and Herzegovina,N/A,93,N/A
Botswana,"390,000","235,485","5,100"
Bouvet Island,N/A,N/A,N/A
Brazil,"610,000-1,000,000","382,797","9,900-23,000"
British Indian Ocean Territory,N/A,N/A,N/A
British Virgin Islands,N/A,N/A,N/A
Brunei Darussalam,N/A,N/A,N/A
Bulgaria,N/A,682,N/A
Burkina Faso,"110,000","44,410","3,800"
Burundi,"85,000","34,448","3,900"
Cambodia,"75,000","48,920","2,600"
Cameroon,"660,000","138,939","34,000"
Canada,N/A,N/A,N/A
Cape Verde,"3,400","1,144",<100
Cayman Islands,N/A,N/A,N/A
Central African Republic,"140,000","22,579","9,900"
Chad,"210,000","46,327","12,000"
Chile,"39,000","24,935","<1,000"
China,N/A,"291,504",N/A
Christmas Island,N/A,N/A,N/A
Cocos (Keeling Islands),N/A,N/A,N/A
Colombia,"120,000","48,329",4700
Comoros,N/A,N/A,N/A
Congo,"81,000","12,727","4,400"
Congo (Dem. Republic of),"450,000","92,801","24,000"
Cook Islands,N/A,N/A,N/A
Costa Rica,"8,800","4,609",<200
Croatia,N/A,N/A,N/A
Cuba,"17,000","11,982",<200
Cyprus,N/A,N/A,N/A
Czech Republic,N/A,N/A,N/A
Denmark,"6,000",N/A,<100
Djibouti,"9,900","1,541","<1,000"
Dominica,N/A,N/A,N/A
Dominican Republic,"69,000","26,105","3,100"
Ecuador,"33,000","12,236","1,200"
